date,channel,campaign_name,customers,new_customers,revenue,roas,avg_order_value,ltv
2024-03-03,LinkedIn,Message Ads,1,1,145,0.75,148.09,370.22
2024-03-03,LinkedIn,Event Ads,1,1,206,1.21,193.61,484.03
2024-03-03,LinkedIn,Text Ads,1,1,292,2.07,318.26,795.64
2024-03-03,TikTok,App Install,1,1,142,2.25,127.07,317.69
2024-03-03,TikTok,Traffic,2,2,494,5.15,253.21,633.03
2024-03-03,TikTok,Reach,1,1,305,3.76,300.19,750.47
2024-03-03,Pinterest,Conversions,1,1,174,2.63,164.81,412.02
2024-03-03,Pinterest,Traffic,1,1,166,1.81,141.99,354.98
2024-03-04,Google Ads,Search - Generic,8,8,1695,2.91,228.28,570.7
2024-03-04,Google Ads,Search - Brand,6,6,1560,3.13,220.62,551.56
2024-03-04,Google Ads,Display - Remarketing,4,4,466,0.97,140.13,350.31
2024-03-04,Facebook,Video Views,2,2,592,1.47,299.09,747.72
2024-03-04,Facebook,Lead Generation,6,6,1880,3.34,266.64,666.61
2024-03-04,LinkedIn,Message Ads,2,2,445,1.74,235.49,588.72
2024-03-04,LinkedIn,Message Ads,1,1,236,1.09,238.99,597.47
2024-03-04,LinkedIn,Event Ads,1,1,252,0.93,214.57,536.43
2024-03-04,TikTok,Traffic,1,1,246,3.2,233.57,583.92
2024-03-04,TikTok,Conversions,2,2,365,2.88,191.33,478.34
2024-03-04,TikTok,Traffic,1,1,222,1.82,239.38,598.44
2024-03-04,TikTok,Reach,1,1,314,4.3,298.75,746.89
2024-03-04,Pinterest,Traffic,1,1,191,2.13,187.48,468.71
2024-03-04,Pinterest,App Install,1,1,228,3.12,251.54,628.84
2024-03-04,Pinterest,Video Views,1,1,178,1.75,168.33,420.83
2024-03-04,Pinterest,App Install,2,2,452,3.93,274.22,685.55
2024-03-05,Google Ads,Search - Generic,2,2,401,1.24,205.26,513.16
2024-03-05,Google Ads,Video - YouTube,7,7,1386,2.4,200.63,501.57
2024-03-05,Google Ads,Search - Generic,7,7,2094,3.52,288.96,722.41
2024-03-05,Facebook,Video Views,2,2,453,1.72,249.6,624.01
2024-03-05,Facebook,Traffic,3,3,587,1.86,206.49,516.22
2024-03-05,Facebook,Video Views,2,2,465,1.77,235.51,588.78
2024-03-05,LinkedIn,Text Ads,1,1,152,0.49,133.86,334.64
2024-03-05,LinkedIn,Sponsored Content,3,3,383,0.79,122.61,306.52
2024-03-05,TikTok,App Install,3,3,650,3.17,247.04,617.61
2024-03-05,TikTok,App Install,2,2,653,3.14,276.4,690.99
2024-03-05,Pinterest,Conversions,2,2,406,2.23,181.36,453.4
2024-03-05,Pinterest,Video Views,2,2,361,2.06,210.84,527.11
2024-03-06,Google Ads,Search - Brand,6,6,1487,3.84,217.29,543.23
2024-03-06,Google Ads,Search - Brand,4,4,1251,3.13,286,715
2024-03-06,Google Ads,Video - YouTube,5,5,1386,4.65,252.3,630.76
2024-03-06,Facebook,Video Views,4,4,811,1.64,175.62,439.06
2024-03-06,Facebook,Remarketing,3,3,957,1.95,299.41,748.52
2024-03-06,LinkedIn,Event Ads,2,2,226,0.73,122.15,305.39
2024-03-06,LinkedIn,Sponsored Content,2,2,233,0.69,135.09,337.73
2024-03-06,LinkedIn,Event Ads,2,2,596,1.76,251.46,628.65
2024-03-06,TikTok,Reach,2,2,627,3.89,312.34,780.85
2024-03-06,TikTok,Reach,2,2,516,3.31,295.57,738.92
2024-03-06,TikTok,Reach,2,2,274,1.55,166.17,415.41
2024-03-06,Pinterest,Traffic,2,2,650,5.91,308.05,770.12
2024-03-06,Pinterest,Conversions,1,1,167,1.43,158.43,396.07
2024-03-06,Pinterest,Video Views,1,1,196,2.42,186.38,465.96
2024-03-07,Google Ads,Search - Brand,4,4,905,2.65,254.67,636.68
2024-03-07,Google Ads,Search - Brand,7,7,1583,2.89,247.47,618.67
2024-03-07,Google Ads,Search - Generic,7,7,1929,4.68,253.47,633.67
2024-03-07,Facebook,Remarketing,1,1,251,1.51,241.13,602.82
2024-03-07,Facebook,Remarketing,2,2,419,1.83,199.25,498.12
2024-03-07,Facebook,Video Views,3,3,1047,4.06,301.43,753.58
2024-03-07,Facebook,Video Views,2,2,324,1.06,202.21,505.53
2024-03-07,LinkedIn,Event Ads,1,1,213,0.63,215.2,537.99
2024-03-07,LinkedIn,Event Ads,2,2,434,1.12,230.95,577.37
2024-03-07,TikTok,Video Views,3,3,437,2.51,144.68,361.7
2024-03-07,TikTok,App Install,5,5,1573,7.15,301.74,754.34
2024-03-07,TikTok,Video Views,1,1,239,2.11,230.29,575.72
2024-03-07,Pinterest,Traffic,3,3,647,2.93,267.15,667.88
2024-03-07,Pinterest,App Install,3,3,702,3,291.18,727.95
2024-03-08,Google Ads,Shopping,7,7,1065,2.85,141.1,352.75
2024-03-08,Google Ads,Search - Brand,2,2,219,0.89,131.26,328.16
2024-03-08,Google Ads,Search - Generic,5,5,1316,3.94,309.3,773.24
2024-03-08,Facebook,Traffic,5,5,1447,4.31,267.04,667.6
2024-03-08,Facebook,Conversions,1,1,261,1.4,244.95,612.38
2024-03-08,Facebook,Traffic,2,2,286,1.16,156.75,391.88
2024-03-08,LinkedIn,Text Ads,1,1,206,0.94,250.56,626.4
2024-03-08,LinkedIn,Text Ads,1,1,210,0.8,176.31,440.77
2024-03-08,LinkedIn,Sponsored Content,1,1,125,0.65,132.33,330.83
2024-03-08,LinkedIn,Sponsored Content,1,1,365,1.92,314.46,786.14
2024-03-08,TikTok,Traffic,1,1,352,3.95,309.75,774.39
2024-03-08,TikTok,Conversions,1,1,156,1.56,153.03,382.59
2024-03-08,TikTok,Video Views,1,1,274,2.64,288.49,721.23
2024-03-08,Pinterest,Video Views,2,2,336,2.11,172.56,431.4
2024-03-08,Pinterest,Traffic,2,2,451,2.91,193.83,484.58
2024-03-09,Google Ads,Search - Generic,7,7,1812,2.97,261.89,654.73
2024-03-09,Google Ads,Search - Generic,6,6,1573,3.08,281.39,703.46
2024-03-09,Facebook,Lead Generation,1,1,203,1.41,246.02,615.06
2024-03-09,Facebook,Remarketing,1,1,197,1.15,187.54,468.84
2024-03-09,Facebook,Video Views,1,1,249,1.4,284.72,711.8
2024-03-09,Facebook,Conversions,1,1,290,2.3,254.53,636.32
2024-03-09,LinkedIn,Event Ads,1,1,216,1.6,223.81,559.51
2024-03-09,TikTok,Conversions,1,1,333,3.5,281.73,704.31
2024-03-09,TikTok,Reach,1,1,111,1.61,121.18,302.95
2024-03-09,TikTok,Conversions,1,1,233,3.81,274.05,685.11
2024-03-09,Pinterest,Traffic,1,1,216,2.48,258.51,646.28
2024-03-09,Pinterest,Video Views,1,1,208,2.73,232.67,581.68
2024-03-10,Google Ads,Video - YouTube,4,4,1138,2.73,277.83,694.57
2024-03-10,Google Ads,Shopping,8,8,1131,2.06,130.22,325.54
2024-03-10,Facebook,Traffic,1,1,316,2.78,288.43,721.08
2024-03-10,Facebook,Remarketing,1,1,187,1.19,192.29,480.72
2024-03-10,Facebook,Video Views,1,1,115,0.65,141.9,354.74
2024-03-10,Facebook,Conversions,1,1,189,1.13,228.95,572.37
2024-03-10,LinkedIn,Event Ads,1,1,215,1.06,199.68,499.19
2024-03-10,LinkedIn,Event Ads,1,1,164,0.84,141.74,354.34
2024-03-10,TikTok,Conversions,1,1,270,2.76,237.75,594.39
2024-03-10,Pinterest,Traffic,1,1,141,2.11,147.95,369.88
2024-03-10,Pinterest,Traffic,1,1,240,3,202.66,506.65
2024-03-10,Pinterest,App Install,1,1,107,1.55,126.61,316.53
2024-03-11,Google Ads,Video - YouTube,7,7,2214,5.48,309.22,773.05
2024-03-11,Google Ads,Search - Brand,5,5,1087,2.61,206.25,515.62
2024-03-11,Google Ads,Shopping,6,6,1616,3.1,252.57,631.43
2024-03-11,Facebook,Traffic,5,5,791,1.71,138.23,345.57
2024-03-11,Facebook,Video Views,4,4,999,2.25,285.22,713.05
2024-03-11,LinkedIn,Dynamic Ads,2,2,374,1.11,197.05,492.63
2024-03-11,LinkedIn,Text Ads,1,1,112,0.48,136.44,341.1
2024-03-11,LinkedIn,Message Ads,3,3,960,2.87,297.6,743.99
2024-03-11,TikTok,Traffic,3,3,620,2.42,235.14,587.85
2024-03-11,TikTok,Video Views,4,4,567,1.81,172.69,431.71
2024-03-11,Pinterest,Video Views,1,1,283,3.22,257.45,643.62
2024-03-11,Pinterest,App Install,1,1,296,4.35,262.09,655.22
2024-03-11,Pinterest,Brand Awareness,1,1,253,2.81,223.11,557.77
2024-03-12,Google Ads,Display - Remarketing,8,8,1443,2.65,212.58,531.45
2024-03-12,Google Ads,Video - YouTube,5,5,987,2.45,172.47,431.16
2024-03-12,Google Ads,Shopping,5,5,844,2.36,165.99,414.98
2024-03-12,Facebook,Video Views,3,3,678,1.97,237.39,593.47
2024-03-12,Facebook,Traffic,3,3,541,1.53,179.52,448.81
2024-03-12,Facebook,Lead Generation,3,3,821,2.09,299.92,749.81
2024-03-12,LinkedIn,Message Ads,2,2,295,0.9,183.36,458.41
2024-03-12,LinkedIn,Event Ads,2,2,399,0.89,226.68,566.69
2024-03-12,TikTok,App Install,4,4,1039,4.95,246.56,616.41
2024-03-12,TikTok,Conversions,3,3,334,1.58,135.35,338.37
2024-03-12,Pinterest,Brand Awareness,2,2,658,4.51,285.82,714.54
2024-03-12,Pinterest,Conversions,3,3,785,2.92,251.33,628.33
2024-03-13,Google Ads,Search - Generic,5,5,1126,2.46,193.35,483.38
2024-03-13,Google Ads,Search - Generic,6,6,864,1.71,151.7,379.24
2024-03-13,Facebook,Traffic,7,7,2266,4.24,290.55,726.38
2024-03-13,Facebook,Lead Generation,5,5,722,1.32,125.31,313.26
2024-03-13,LinkedIn,Event Ads,1,1,278,0.86,274.45,686.12
2024-03-13,LinkedIn,Message Ads,1,1,206,0.6,234.79,586.99
2024-03-13,TikTok,Traffic,2,2,480,3.97,278.24,695.59
2024-03-13,TikTok,Traffic,1,1,193,2.29,176.91,442.28
2024-03-13,TikTok,Video Views,2,2,380,3.02,230.35,575.87
2024-03-13,TikTok,Conversions,2,2,360,2.73,197.42,493.56
2024-03-13,Pinterest,Conversions,4,4,598,2.38,138.72,346.81
2024-03-13,Pinterest,Brand Awareness,2,2,424,2.53,206.44,516.1
2024-03-14,Google Ads,Search - Generic,9,9,1372,2.33,166.06,415.16
2024-03-14,Google Ads,Search - Generic,5,5,985,2.18,241.32,603.3
2024-03-14,Google Ads,Search - Generic,3,3,904,2.72,291.47,728.67
2024-03-14,Facebook,Remarketing,4,4,883,1.84,233.69,584.22
2024-03-14,Facebook,Lead Generation,4,4,510,0.8,137.95,344.88
2024-03-14,LinkedIn,Sponsored Content,1,1,117,0.56,141.54,353.84
2024-03-14,LinkedIn,Dynamic Ads,1,1,209,1.33,254.17,635.42
2024-03-14,LinkedIn,Text Ads,2,2,619,2.76,300.97,752.44
2024-03-14,TikTok,Traffic,1,1,202,2.44,228.24,570.61
2024-03-14,TikTok,Reach,2,2,248,1.75,142.61,356.53
2024-03-14,TikTok,Video Views,1,1,353,3.27,306.32,765.81
2024-03-14,TikTok,Traffic,1,1,153,2.01,175.42,438.56
2024-03-14,Pinterest,Conversions,1,1,182,1.67,195.06,487.64
2024-03-14,Pinterest,App Install,1,1,243,2.76,242.54,606.36
2024-03-14,Pinterest,Video Views,1,1,199,2.27,246.72,616.81
2024-03-14,Pinterest,Traffic,2,2,416,4.04,206.29,515.73
2024-03-15,Google Ads,Search - Generic,5,5,1139,2.27,262.96,657.39
2024-03-15,Google Ads,Shopping,10,10,1309,2.14,126.77,316.93
2024-03-15,Google Ads,Shopping,11,11,1679,2.84,154.38,385.95
2024-03-15,Facebook,Conversions,4,4,491,1.44,136.19,340.47
2024-03-15,LinkedIn,Dynamic Ads,1,1,157,0.73,144.8,362.01
2024-03-15,LinkedIn,Event Ads,2,2,695,2.08,291.3,728.26
2024-03-15,TikTok,Traffic,3,3,799,4.44,282.73,706.83
2024-03-15,TikTok,Reach,2,2,268,1.92,155.36,388.4
2024-03-15,TikTok,Traffic,2,2,550,3.72,254.02,635.04
2024-03-15,Pinterest,App Install,1,1,99,1,122.15,305.38
2024-03-15,Pinterest,Video Views,1,1,365,3.1,309.91,774.77
2024-03-15,Pinterest,App Install,2,2,340,2.72,176.96,442.39
2024-03-16,Google Ads,Search - Generic,2,2,606,2.79,264.11,660.29
2024-03-16,Google Ads,Search - Brand,2,2,298,1.94,137.84,344.6
2024-03-16,Google Ads,Search - Brand,3,3,650,2.45,253.44,633.61
2024-03-16,Google Ads,Search - Generic,4,4,1115,4.05,284.22,710.55
2024-03-16,Facebook,Traffic,1,1,255,1.18,274.73,686.83
2024-03-16,Facebook,Traffic,1,1,182,1.24,155.32,388.29
2024-03-16,Facebook,Lead Generation,1,1,192,1.19,201.05,502.64
2024-03-16,Facebook,Conversions,1,1,228,1.57,191.17,477.91
2024-03-16,LinkedIn,Text Ads,1,1,140,0.94,138.77,346.93
2024-03-16,LinkedIn,Dynamic Ads,1,1,193,1.24,171.86,429.65
2024-03-16,TikTok,Reach,1,1,183,2.4,170.99,427.47
2024-03-16,TikTok,Reach,1,1,333,4.01,314.74,786.85
2024-03-16,TikTok,Reach,1,1,118,1.34,146.96,367.4
2024-03-17,Google Ads,Search - Brand,4,4,541,1.27,126.99,317.47
2024-03-17,Google Ads,Search - Generic,4,4,856,2.18,198.8,496.99
2024-03-17,Facebook,Lead Generation,1,1,135,0.84,134.75,336.87
2024-03-17,Facebook,Remarketing,1,1,168,0.97,180.11,450.28
2024-03-17,Facebook,Video Views,2,2,301,1.34,167.02,417.55
2024-03-17,LinkedIn,Dynamic Ads,1,1,253,0.88,224.91,562.26
2024-03-17,LinkedIn,Message Ads,1,1,304,1.27,284.31,710.77
2024-03-17,TikTok,Conversions,2,2,379,3.42,163.86,409.65
2024-03-17,TikTok,Reach,1,1,210,2.96,231.19,577.97
2024-03-17,TikTok,App Install,1,1,202,2.89,213.29,533.23
2024-03-17,Pinterest,Video Views,1,1,98,1.5,120.16,300.39
2024-03-17,Pinterest,Video Views,1,1,151,2.16,166.62,416.54
2024-03-18,Google Ads,Display - Remarketing,5,5,1479,3.53,286.81,717.03
2024-03-18,Google Ads,Shopping,7,7,983,1.62,126.52,316.29
2024-03-18,Google Ads,Display - Remarketing,5,5,703,1.45,144.7,361.74
2024-03-18,Facebook,Conversions,3,3,511,1.57,162.03,405.08
2024-03-18,Facebook,Video Views,2,2,380,1.1,162.05,405.12
2024-03-18,LinkedIn,Text Ads,1,1,214,0.99,189.03,472.58
2024-03-18,LinkedIn,Text Ads,2,2,551,1.81,250.88,627.2
2024-03-18,LinkedIn,Sponsored Content,2,2,289,0.77,167.43,418.58
2024-03-18,TikTok,App Install,2,2,513,4.28,235.01,587.52
2024-03-18,TikTok,Reach,2,2,467,3.89,232.64,581.61
2024-03-18,TikTok,Reach,2,2,277,1.76,150.78,376.96
2024-03-18,TikTok,Conversions,2,2,479,3.37,245.86,614.64
2024-03-18,Pinterest,Traffic,1,1,229,2.57,246.62,616.55
2024-03-18,Pinterest,Conversions,1,1,141,1.81,145.06,362.66
2024-03-18,Pinterest,Video Views,2,2,330,2.73,181.05,452.62
2024-03-19,Google Ads,Search - Brand,6,6,1420,3.87,271.46,678.66
2024-03-19,Google Ads,Search - Generic,6,6,1610,4.87,255.07,637.68
2024-03-19,Google Ads,Shopping,4,4,1007,2.74,302.26,755.65
2024-03-19,Google Ads,Video - YouTube,4,4,777,2.27,172.63,431.59
2024-03-19,Facebook,Video Views,1,1,197,1.29,197.12,492.8
2024-03-19,Facebook,Conversions,2,2,331,1.18,139.77,349.43
2024-03-19,Facebook,Traffic,1,1,261,1.51,240.82,602.06
2024-03-19,Facebook,Remarketing,1,1,266,1.1,305.39,763.47
2024-03-19,LinkedIn,Message Ads,3,3,611,1.27,177.81,444.52
2024-03-19,LinkedIn,Message Ads,2,2,552,1.13,305.1,762.74
2024-03-19,TikTok,Reach,2,2,415,3.43,197.07,492.68
2024-03-19,TikTok,Conversions,1,1,222,3,201.04,502.61
2024-03-19,TikTok,Video Views,1,1,214,3.45,215.26,538.16
2024-03-19,TikTok,Video Views,1,1,278,2.81,302.68,756.7
2024-03-19,Pinterest,Video Views,1,1,250,2.14,273.27,683.17
2024-03-19,Pinterest,Brand Awareness,1,1,361,5.23,314.69,786.73
2024-03-19,Pinterest,Brand Awareness,2,2,418,2.94,242.89,607.22
2024-03-20,Google Ads,Shopping,14,14,2347,2.52,160.09,400.23
2024-03-20,Google Ads,Shopping,6,6,1826,3.46,273.28,683.21
2024-03-20,Facebook,Traffic,3,3,846,3.3,310.51,776.27
2024-03-20,Facebook,Traffic,2,2,443,1.89,249.04,622.6
2024-03-20,Facebook,Remarketing,1,1,283,1.34,273.91,684.78
2024-03-20,Facebook,Conversions,1,1,225,1.21,217.81,544.52
2024-03-20,LinkedIn,Sponsored Content,1,1,144,0.89,134.15,335.37
2024-03-20,LinkedIn,Event Ads,1,1,181,1.15,163.6,408.99
2024-03-20,LinkedIn,Text Ads,1,1,207,1.01,258.06,645.16
2024-03-20,LinkedIn,Sponsored Content,1,1,243,1,257.31,643.28
2024-03-20,TikTok,Conversions,1,1,256,3.46,236.4,591.01
2024-03-20,TikTok,Traffic,2,2,388,2.86,236.53,591.32
2024-03-20,TikTok,App Install,1,1,221,2.14,192.17,480.41
2024-03-20,TikTok,Reach,1,1,280,3.11,243.34,608.35
2024-03-20,Pinterest,Brand Awareness,2,2,418,2.03,208.39,520.98
2024-03-20,Pinterest,Traffic,2,2,280,1.16,152.52,381.31
2024-03-21,Google Ads,Shopping,14,14,2481,2.77,214.89,537.23
2024-03-21,Google Ads,Search - Generic,10,10,1157,1.46,122.79,306.97
2024-03-21,Facebook,Video Views,2,2,246,1.13,144.04,360.1
2024-03-21,Facebook,Lead Generation,2,2,395,1.76,229.21,573.02
2024-03-21,Facebook,Conversions,1,1,221,1.11,196.06,490.14
2024-03-21,Facebook,Lead Generation,2,2,366,1.3,184.39,460.99
2024-03-21,LinkedIn,Message Ads,2,2,278,0.93,142.87,357.19
2024-03-21,LinkedIn,Event Ads,2,2,570,1.46,249.87,624.69
2024-03-21,TikTok,Conversions,2,2,416,2.77,215.94,539.85
2024-03-21,TikTok,Video Views,1,1,136,1.16,136.01,340.04
2024-03-21,TikTok,Reach,1,1,136,1.05,146.02,365.06
2024-03-21,Pinterest,Traffic,1,1,146,1.31,143.07,357.67
2024-03-21,Pinterest,Video Views,1,1,156,1.9,129.99,324.97
2024-03-21,Pinterest,App Install,1,1,274,3.61,273.98,684.95
2024-03-21,Pinterest,Brand Awareness,1,1,330,6.11,277.7,694.25
2024-03-22,Google Ads,Video - YouTube,4,4,585,1.54,126.38,315.95
2024-03-22,Google Ads,Video - YouTube,6,6,1087,2.43,180.18,450.46
2024-03-22,Google Ads,Search - Brand,6,6,1403,3.53,202.82,507.04
2024-03-22,Facebook,Video Views,2,2,246,0.64,127.73,319.33
2024-03-22,Facebook,Conversions,3,3,439,0.95,131.81,329.52
2024-03-22,LinkedIn,Sponsored Content,2,2,560,2.35,269.02,672.54
2024-03-22,LinkedIn,Message Ads,1,1,255,1.14,231.97,579.91
2024-03-22,LinkedIn,Message Ads,2,2,496,2.46,244.97,612.43
2024-03-22,LinkedIn,Message Ads,1,1,105,0.59,131.05,327.63
2024-03-22,TikTok,Traffic,1,1,189,2.45,163.3,408.24
2024-03-22,TikTok,App Install,1,1,140,1.54,140.77,351.93
2024-03-22,TikTok,Video Views,2,2,341,2.81,186.45,466.13
2024-03-22,TikTok,Reach,1,1,180,2.5,166.84,417.09
2024-03-22,Pinterest,Traffic,2,2,474,2.1,247.63,619.09
2024-03-22,Pinterest,Conversions,2,2,570,3.8,314.13,785.32
2024-03-23,Google Ads,Display - Remarketing,3,3,720,2.74,289.93,724.83
2024-03-23,Google Ads,Search - Brand,3,3,529,2.44,217.4,543.51
2024-03-23,Google Ads,Display - Remarketing,4,4,658,2.16,204.56,511.39
2024-03-23,Facebook,Lead Generation,3,3,749,2.23,301.17,752.93
2024-03-23,LinkedIn,Sponsored Content,1,1,210,0.99,230.55,576.36
2024-03-23,LinkedIn,Text Ads,1,1,263,1.68,298.13,745.34
2024-03-23,LinkedIn,Dynamic Ads,1,1,188,1.08,200.92,502.29
2024-03-23,TikTok,Conversions,1,1,162,1.56,135.03,337.58
