customer_id,acquisition_date,acquisition_channel,acquisition_campaign,first_purchase_value,customer_segment,acquisition_cac,predicted_ltv
cust_1708966009382_googleads_3,2024-02-26,Google Ads,Display - Remarketing,165.17,Medium Value,71.88,558.16
cust_1708966009382_googleads_4,2024-02-26,Google Ads,Display - Remarketing,174.98,High Value,71.88,373.46
cust_1708966009382_googleads_5,2024-02-26,Google Ads,Display - Remarketing,224.69,SMB,71.88,551.22
cust_1708966009382_googleads_6,2024-02-26,Google Ads,Display - Remarketing,235.64,Low Value,71.88,410.38
cust_1708966009382_googleads_7,2024-02-26,Google Ads,Display - Remarketing,197.63,Enterprise,71.88,361.13
cust_1708966009382_facebook_0,2024-02-26,Facebook,Conversions,186.62,Low Value,126.33,489.25
cust_1708966009382_facebook_1,2024-02-26,Facebook,Conversions,185.5,SMB,126.33,526.3
cust_1708966009382_facebook_2,2024-02-26,Facebook,Conversions,198.03,Low Value,126.33,246.95
cust_1708966009382_facebook_0,2024-02-26,Facebook,Traffic,272.06,High Value,139,359.99
cust_1708966009382_facebook_1,2024-02-26,Facebook,Traffic,212.75,High Value,139,457.21
cust_1708966009382_facebook_2,2024-02-26,Facebook,Traffic,243.14,Medium Value,139,546.68
cust_1708966009382_linkedin_0,2024-02-26,LinkedIn,Sponsored Content,154.42,Low Value,128,500.8
cust_1708966009382_linkedin_1,2024-02-26,LinkedIn,Sponsored Content,217.42,High Value,128,397.03
cust_1708966009382_linkedin_0,2024-02-26,LinkedIn,Sponsored Content,251.25,Low Value,130,706.37
cust_1708966009382_linkedin_1,2024-02-26,LinkedIn,Sponsored Content,237.84,Medium Value,130,341
cust_1708966009382_linkedin_0,2024-02-26,LinkedIn,Sponsored Content,132.43,High Value,225,338.27
cust_1708966009382_linkedin_0,2024-02-26,LinkedIn,Text Ads,256.13,Enterprise,160,610.33
cust_1708966009382_tiktok_0,2024-02-26,TikTok,Conversions,242.46,Medium Value,140,589.34
cust_1708966009382_tiktok_0,2024-02-26,TikTok,App Install,312.3,Low Value,87.5,1005.74
cust_1708966009382_tiktok_1,2024-02-26,TikTok,App Install,299.7,SMB,87.5,949.58
cust_1708966009382_tiktok_0,2024-02-26,TikTok,Traffic,172.39,Medium Value,73,368.23
cust_1708966009382_tiktok_1,2024-02-26,TikTok,Traffic,171.38,Low Value,73,275.7
cust_1708966009382_pinterest_0,2024-02-26,Pinterest,Traffic,119.48,Low Value,87,337.84
cust_1708966009382_pinterest_0,2024-02-26,Pinterest,App Install,169.65,Low Value,111,269.46
cust_1708966009382_pinterest_0,2024-02-26,Pinterest,Conversions,337.34,Medium Value,79,802.07
cust_1709052409382_googleads_0,2024-02-27,Google Ads,Search - Generic,237.55,Medium Value,129.67,741.78
cust_1709052409382_googleads_1,2024-02-27,Google Ads,Search - Generic,339.81,Medium Value,129.67,747.69
cust_1709052409382_googleads_2,2024-02-27,Google Ads,Search - Generic,337.17,Enterprise,129.67,753.79
cust_1709052409382_googleads_0,2024-02-27,Google Ads,Search - Generic,159.47,Medium Value,80.33,330.31
cust_1709052409382_googleads_1,2024-02-27,Google Ads,Search - Generic,140.98,Low Value,80.33,667.74
cust_1709052409382_googleads_2,2024-02-27,Google Ads,Search - Generic,138.95,SMB,80.33,414.91
cust_1709052409382_googleads_3,2024-02-27,Google Ads,Search - Generic,162.66,Enterprise,80.33,322.36
cust_1709052409382_googleads_4,2024-02-27,Google Ads,Search - Generic,168.36,SMB,80.33,637.87
cust_1709052409382_googleads_5,2024-02-27,Google Ads,Search - Generic,173.71,Medium Value,80.33,558.31
cust_1709052409382_googleads_0,2024-02-27,Google Ads,Video - YouTube,190.41,Low Value,59.57,555.49
cust_1709052409382_googleads_1,2024-02-27,Google Ads,Video - YouTube,125.73,Low Value,59.57,328.91
cust_1709052409382_googleads_2,2024-02-27,Google Ads,Video - YouTube,141.89,Low Value,59.57,499.16
cust_1709052409382_googleads_3,2024-02-27,Google Ads,Video - YouTube,178.49,Medium Value,59.57,305.31
cust_1709052409382_googleads_4,2024-02-27,Google Ads,Video - YouTube,132.26,Medium Value,59.57,483.14
cust_1709052409382_googleads_5,2024-02-27,Google Ads,Video - YouTube,162.43,Low Value,59.57,435.6
cust_1709052409382_googleads_6,2024-02-27,Google Ads,Video - YouTube,163.24,Medium Value,59.57,286.56
cust_1709052409382_facebook_0,2024-02-27,Facebook,Traffic,162.46,SMB,173.33,510.82
cust_1709052409382_facebook_1,2024-02-27,Facebook,Traffic,169.61,High Value,173.33,247.92
cust_1709052409382_facebook_2,2024-02-27,Facebook,Traffic,150.59,High Value,173.33,477.67
cust_1709052409382_facebook_0,2024-02-27,Facebook,Traffic,179.67,High Value,87.14,420.38
cust_1709052409382_facebook_1,2024-02-27,Facebook,Traffic,121.09,Medium Value,87.14,305.23
cust_1709052409382_facebook_2,2024-02-27,Facebook,Traffic,164.23,Medium Value,87.14,535.76
cust_1709052409382_facebook_3,2024-02-27,Facebook,Traffic,141.91,Low Value,87.14,254.25
cust_1709052409382_facebook_4,2024-02-27,Facebook,Traffic,182.72,Medium Value,87.14,354.68
cust_1709052409382_facebook_5,2024-02-27,Facebook,Traffic,206.36,Medium Value,87.14,326.94
cust_1709052409382_facebook_6,2024-02-27,Facebook,Traffic,158.77,Medium Value,87.14,506.43
cust_1709052409382_linkedin_0,2024-02-27,LinkedIn,Event Ads,149.33,SMB,191,538.89
cust_1709052409382_linkedin_1,2024-02-27,LinkedIn,Event Ads,198.45,Low Value,191,434.45
cust_1709052409382_linkedin_0,2024-02-27,LinkedIn,Dynamic Ads,229.86,High Value,124.75,315.96
cust_1709052409382_linkedin_1,2024-02-27,LinkedIn,Dynamic Ads,203.74,Enterprise,124.75,483
cust_1709052409382_linkedin_2,2024-02-27,LinkedIn,Dynamic Ads,173.48,Low Value,124.75,622.76
cust_1709052409382_linkedin_3,2024-02-27,LinkedIn,Dynamic Ads,187.43,High Value,124.75,509.95
cust_1709052409382_tiktok_0,2024-02-27,TikTok,Conversions,183.56,SMB,76,491.56
cust_1709052409382_tiktok_1,2024-02-27,TikTok,Conversions,262.36,Low Value,76,588.11
cust_1709052409382_tiktok_2,2024-02-27,TikTok,Conversions,174.11,Medium Value,76,645.83
cust_1709052409382_tiktok_0,2024-02-27,TikTok,Reach,281.79,Medium Value,53.4,757.41
cust_1709052409382_tiktok_1,2024-02-27,TikTok,Reach,223.44,Low Value,53.4,528.54
cust_1709052409382_tiktok_2,2024-02-27,TikTok,Reach,177.07,SMB,53.4,550.35
cust_1709052409382_tiktok_3,2024-02-27,TikTok,Reach,304.51,Medium Value,53.4,407.77
cust_1709052409382_tiktok_4,2024-02-27,TikTok,Reach,232.86,Medium Value,53.4,790.38
cust_1709052409382_pinterest_0,2024-02-27,Pinterest,Conversions,292.2,High Value,158,929.02
cust_1709052409382_pinterest_0,2024-02-27,Pinterest,Traffic,369.03,Medium Value,167,921.92
cust_1709052409382_pinterest_0,2024-02-27,Pinterest,Conversions,175.06,Low Value,112,290.9
cust_1709138809382_googleads_0,2024-02-28,Google Ads,Video - YouTube,167.16,High Value,62.2,400.64
cust_1709138809382_googleads_1,2024-02-28,Google Ads,Video - YouTube,183.37,Low Value,62.2,521.82
cust_1709138809382_googleads_2,2024-02-28,Google Ads,Video - YouTube,223.43,Medium Value,62.2,504.28
cust_1709138809382_googleads_3,2024-02-28,Google Ads,Video - YouTube,133.51,High Value,62.2,302.7
cust_1709138809382_googleads_4,2024-02-28,Google Ads,Video - YouTube,173.82,Low Value,62.2,413.1
cust_1709138809382_googleads_0,2024-02-28,Google Ads,Video - YouTube,149.37,High Value,117,554.78
cust_1709138809382_googleads_1,2024-02-28,Google Ads,Video - YouTube,146.39,High Value,117,370.01
cust_1709138809382_googleads_2,2024-02-28,Google Ads,Video - YouTube,192.61,Low Value,117,625.78
cust_1709138809382_googleads_0,2024-02-28,Google Ads,Display - Remarketing,203.83,Medium Value,91.5,641.72
cust_1709138809382_googleads_1,2024-02-28,Google Ads,Display - Remarketing,208.87,High Value,91.5,672.87
cust_1709138809382_googleads_2,2024-02-28,Google Ads,Display - Remarketing,214.32,Medium Value,91.5,425.27
cust_1709138809382_googleads_3,2024-02-28,Google Ads,Display - Remarketing,216.26,Low Value,91.5,667.03
cust_1709138809382_googleads_0,2024-02-28,Google Ads,Shopping,273.55,Medium Value,67,653.98
cust_1709138809382_googleads_1,2024-02-28,Google Ads,Shopping,179.37,Medium Value,67,357.89
cust_1709138809382_googleads_2,2024-02-28,Google Ads,Shopping,251.62,Medium Value,67,637.99
cust_1709138809382_googleads_3,2024-02-28,Google Ads,Shopping,252,Low Value,67,581.79
cust_1709138809382_facebook_0,2024-02-28,Facebook,Conversions,106.11,Enterprise,122,360.21
cust_1709138809382_facebook_1,2024-02-28,Facebook,Conversions,150.48,Medium Value,122,372.91
cust_1709138809382_facebook_0,2024-02-28,Facebook,Conversions,218.55,Low Value,86.25,615.01
cust_1709138809382_facebook_1,2024-02-28,Facebook,Conversions,217.3,Medium Value,86.25,357.94
cust_1709138809382_facebook_2,2024-02-28,Facebook,Conversions,238.36,Medium Value,86.25,548.62
cust_1709138809382_facebook_3,2024-02-28,Facebook,Conversions,218.65,Low Value,86.25,347.61
cust_1709138809382_facebook_0,2024-02-28,Facebook,Lead Generation,236.23,High Value,95.5,650.87
cust_1709138809382_facebook_1,2024-02-28,Facebook,Lead Generation,326.12,Medium Value,95.5,913.51
cust_1709138809382_facebook_2,2024-02-28,Facebook,Lead Generation,265.68,Low Value,95.5,868.34
cust_1709138809382_facebook_3,2024-02-28,Facebook,Lead Generation,207.12,Enterprise,95.5,486.96
cust_1709138809382_linkedin_0,2024-02-28,LinkedIn,Sponsored Content,129.28,SMB,234,197.99
cust_1709138809382_linkedin_1,2024-02-28,LinkedIn,Sponsored Content,128.65,Enterprise,234,406.72
cust_1709138809382_linkedin_0,2024-02-28,LinkedIn,Sponsored Content,243.54,Low Value,178,570.83
cust_1709138809382_linkedin_1,2024-02-28,LinkedIn,Sponsored Content,243.73,Medium Value,178,501.06
cust_1709138809382_tiktok_0,2024-02-28,TikTok,Traffic,303.43,Medium Value,77.33,689.05
cust_1709138809382_tiktok_1,2024-02-28,TikTok,Traffic,234.92,SMB,77.33,729.15
cust_1709138809382_tiktok_2,2024-02-28,TikTok,Traffic,349.72,High Value,77.33,451.53
cust_1709138809382_tiktok_0,2024-02-28,TikTok,Traffic,208.7,Low Value,60.25,647.98
cust_1709138809382_tiktok_1,2024-02-28,TikTok,Traffic,209.09,SMB,60.25,530.39
cust_1709138809382_tiktok_2,2024-02-28,TikTok,Traffic,305.03,Medium Value,60.25,656.52
cust_1709138809382_tiktok_3,2024-02-28,TikTok,Traffic,292.57,Medium Value,60.25,397.46
cust_1709138809382_pinterest_0,2024-02-28,Pinterest,Conversions,353.99,Enterprise,141,786.42
cust_1709138809382_pinterest_0,2024-02-28,Pinterest,App Install,110.4,Medium Value,91,241.7
cust_1709138809382_pinterest_0,2024-02-28,Pinterest,Conversions,181.63,Medium Value,76,610
cust_1709225209382_googleads_0,2024-02-29,Google Ads,Search - Generic,287.41,SMB,63.5,933.21
cust_1709225209382_googleads_1,2024-02-29,Google Ads,Search - Generic,284.56,Enterprise,63.5,720.45
cust_1709225209382_googleads_2,2024-02-29,Google Ads,Search - Generic,284.34,Medium Value,63.5,438.13
cust_1709225209382_googleads_3,2024-02-29,Google Ads,Search - Generic,322.51,Medium Value,63.5,541.33
cust_1709225209382_googleads_4,2024-02-29,Google Ads,Search - Generic,335.68,Low Value,63.5,487.91
cust_1709225209382_googleads_5,2024-02-29,Google Ads,Search - Generic,321.57,High Value,63.5,815.65
cust_1709225209382_googleads_6,2024-02-29,Google Ads,Search - Generic,255.47,SMB,63.5,414.14
cust_1709225209382_googleads_7,2024-02-29,Google Ads,Search - Generic,344.18,High Value,63.5,626.42
cust_1709225209382_googleads_0,2024-02-29,Google Ads,Display - Remarketing,239.44,Medium Value,127.67,950.78
cust_1709225209382_googleads_1,2024-02-29,Google Ads,Display - Remarketing,295.26,Enterprise,127.67,507.57
cust_1709225209382_googleads_2,2024-02-29,Google Ads,Display - Remarketing,337.44,Medium Value,127.67,531.32
cust_1709225209382_googleads_0,2024-02-29,Google Ads,Shopping,347.46,Medium Value,82,937.55
cust_1709225209382_googleads_1,2024-02-29,Google Ads,Shopping,192.33,High Value,82,465.84
cust_1709225209382_googleads_2,2024-02-29,Google Ads,Shopping,225.51,High Value,82,499.02
cust_1709225209382_googleads_3,2024-02-29,Google Ads,Shopping,243.99,High Value,82,637.64
cust_1709225209382_googleads_4,2024-02-29,Google Ads,Shopping,302.55,High Value,82,887.75
cust_1709225209382_googleads_5,2024-02-29,Google Ads,Shopping,204.83,Medium Value,82,722.21
cust_1709225209382_googleads_0,2024-02-29,Google Ads,Search - Generic,151.28,Medium Value,104.75,229.19
cust_1709225209382_googleads_1,2024-02-29,Google Ads,Search - Generic,175.17,High Value,104.75,345.73
cust_1709225209382_googleads_2,2024-02-29,Google Ads,Search - Generic,140.75,Enterprise,104.75,316.27
cust_1709225209382_googleads_3,2024-02-29,Google Ads,Search - Generic,165.1,Low Value,104.75,449.9
cust_1709225209382_facebook_0,2024-02-29,Facebook,Traffic,172.6,Low Value,85.5,618.08
cust_1709225209382_facebook_1,2024-02-29,Facebook,Traffic,265.21,Medium Value,85.5,402.96
cust_1709225209382_facebook_2,2024-02-29,Facebook,Traffic,198.24,Enterprise,85.5,772.95
cust_1709225209382_facebook_3,2024-02-29,Facebook,Traffic,201.6,SMB,85.5,650.65
cust_1709225209382_facebook_0,2024-02-29,Facebook,Remarketing,179.51,High Value,236,376.08
cust_1709225209382_facebook_0,2024-02-29,Facebook,Traffic,331.28,SMB,84.67,643.85
cust_1709225209382_facebook_1,2024-02-29,Facebook,Traffic,227.91,Enterprise,84.67,546.75
cust_1709225209382_facebook_2,2024-02-29,Facebook,Traffic,303.64,SMB,84.67,818.12
cust_1709225209382_linkedin_0,2024-02-29,LinkedIn,Dynamic Ads,260.34,Medium Value,189,473.4
cust_1709225209382_linkedin_0,2024-02-29,LinkedIn,Event Ads,268.42,Low Value,148.5,660.85
cust_1709225209382_linkedin_1,2024-02-29,LinkedIn,Event Ads,220.32,Enterprise,148.5,785.42
cust_1709225209382_linkedin_0,2024-02-29,LinkedIn,Text Ads,227.11,Enterprise,125,505.47
cust_1709225209382_linkedin_1,2024-02-29,LinkedIn,Text Ads,230.96,Low Value,125,370.28
cust_1709225209382_tiktok_0,2024-02-29,TikTok,Video Views,182.63,Low Value,45,650.89
cust_1709225209382_tiktok_1,2024-02-29,TikTok,Video Views,264.35,Enterprise,45,731.83
cust_1709225209382_tiktok_0,2024-02-29,TikTok,Conversions,176.53,Enterprise,57,406.01
cust_1709225209382_tiktok_1,2024-02-29,TikTok,Conversions,146.89,Medium Value,57,394.77
cust_1709225209382_tiktok_0,2024-02-29,TikTok,App Install,106.66,Low Value,71.5,274.12
cust_1709225209382_tiktok_1,2024-02-29,TikTok,App Install,89.13,Low Value,71.5,263.89
cust_1709225209382_tiktok_0,2024-02-29,TikTok,Conversions,123.62,Medium Value,100,324.67
cust_1709225209382_pinterest_0,2024-02-29,Pinterest,Conversions,119.2,Medium Value,80,264.77
cust_1709225209382_pinterest_0,2024-02-29,Pinterest,Brand Awareness,213.7,Enterprise,133,365.91
cust_1709225209382_pinterest_0,2024-02-29,Pinterest,Conversions,299.67,Medium Value,64,610.49
cust_1709311609382_googleads_0,2024-03-01,Google Ads,Display - Remarketing,218.41,Low Value,83.75,666.44
cust_1709311609382_googleads_1,2024-03-01,Google Ads,Display - Remarketing,224.88,Medium Value,83.75,638.35
cust_1709311609382_googleads_2,2024-03-01,Google Ads,Display - Remarketing,356.39,Low Value,83.75,677.49
cust_1709311609382_googleads_3,2024-03-01,Google Ads,Display - Remarketing,361.32,Low Value,83.75,1012.03
cust_1709311609382_googleads_4,2024-03-01,Google Ads,Display - Remarketing,334.25,High Value,83.75,464.75
cust_1709311609382_googleads_5,2024-03-01,Google Ads,Display - Remarketing,204.52,Enterprise,83.75,1012.78
cust_1709311609382_googleads_6,2024-03-01,Google Ads,Display - Remarketing,295.82,Low Value,83.75,741.37
cust_1709311609382_googleads_7,2024-03-01,Google Ads,Display - Remarketing,354.38,Low Value,83.75,972.02
cust_1709311609382_googleads_0,2024-03-01,Google Ads,Search - Generic,233.1,SMB,105.75,422.05
cust_1709311609382_googleads_1,2024-03-01,Google Ads,Search - Generic,223.1,Low Value,105.75,728.34
cust_1709311609382_googleads_2,2024-03-01,Google Ads,Search - Generic,182.44,Low Value,105.75,735.85
cust_1709311609382_googleads_3,2024-03-01,Google Ads,Search - Generic,198.9,Low Value,105.75,722.99
cust_1709311609382_googleads_0,2024-03-01,Google Ads,Display - Remarketing,138.82,Medium Value,87.2,491.95
cust_1709311609382_googleads_1,2024-03-01,Google Ads,Display - Remarketing,163.36,Low Value,87.2,382.06
cust_1709311609382_googleads_2,2024-03-01,Google Ads,Display - Remarketing,152.71,High Value,87.2,369.95
cust_1709311609382_googleads_3,2024-03-01,Google Ads,Display - Remarketing,168.19,Low Value,87.2,450.73
cust_1709311609382_googleads_4,2024-03-01,Google Ads,Display - Remarketing,190.94,SMB,87.2,399.19
cust_1709311609382_facebook_0,2024-03-01,Facebook,Traffic,288.48,Low Value,69.25,446.53
cust_1709311609382_facebook_1,2024-03-01,Facebook,Traffic,288.99,Low Value,69.25,721.02
cust_1709311609382_facebook_2,2024-03-01,Facebook,Traffic,314.19,Medium Value,69.25,849.8
cust_1709311609382_facebook_3,2024-03-01,Facebook,Traffic,286.38,Medium Value,69.25,708.81
cust_1709311609382_facebook_0,2024-03-01,Facebook,Remarketing,159.87,Enterprise,96.33,318.85
cust_1709311609382_facebook_1,2024-03-01,Facebook,Remarketing,132.66,Enterprise,96.33,429.59
cust_1709311609382_facebook_2,2024-03-01,Facebook,Remarketing,196.16,High Value,96.33,363.29
cust_1709311609382_facebook_0,2024-03-01,Facebook,Remarketing,209.86,Enterprise,121.5,545.85
cust_1709311609382_facebook_1,2024-03-01,Facebook,Remarketing,183,High Value,121.5,582.39
cust_1709311609382_facebook_0,2024-03-01,Facebook,Conversions,208.67,Low Value,83,560.84
cust_1709311609382_facebook_1,2024-03-01,Facebook,Conversions,161.46,High Value,83,329.36
cust_1709311609382_facebook_2,2024-03-01,Facebook,Conversions,181.81,Medium Value,83,560.45
cust_1709311609382_facebook_3,2024-03-01,Facebook,Conversions,209.04,Low Value,83,408.13
cust_1709311609382_linkedin_0,2024-03-01,LinkedIn,Message Ads,175.17,Enterprise,248,281.56
cust_1709311609382_linkedin_0,2024-03-01,LinkedIn,Event Ads,136.63,Low Value,283,406.8
cust_1709311609382_linkedin_0,2024-03-01,LinkedIn,Event Ads,288.59,Medium Value,138.5,789.68
cust_1709311609382_linkedin_1,2024-03-01,LinkedIn,Event Ads,198.24,Medium Value,138.5,798.31
cust_1709311609382_tiktok_0,2024-03-01,TikTok,Traffic,148.92,Medium Value,54,296.59
cust_1709311609382_tiktok_1,2024-03-01,TikTok,Traffic,191.62,Medium Value,54,461
cust_1709311609382_tiktok_0,2024-03-01,TikTok,Conversions,233.62,Medium Value,43.33,454.29
cust_1709311609382_tiktok_1,2024-03-01,TikTok,Conversions,206.2,Medium Value,43.33,334.54
cust_1709311609382_tiktok_2,2024-03-01,TikTok,Conversions,150.32,Low Value,43.33,672.25
cust_1709311609382_tiktok_0,2024-03-01,TikTok,Reach,285.25,Low Value,58,1026.64
cust_1709311609382_tiktok_1,2024-03-01,TikTok,Reach,314.74,Medium Value,58,480.24
cust_1709311609382_tiktok_0,2024-03-01,TikTok,Conversions,130.47,Low Value,99,522.74
cust_1709311609382_pinterest_0,2024-03-01,Pinterest,Brand Awareness,308.4,Low Value,108,568.27
cust_1709311609382_pinterest_1,2024-03-01,Pinterest,Brand Awareness,335.29,High Value,108,869.94
cust_1709311609382_pinterest_0,2024-03-01,Pinterest,Brand Awareness,390.1,Medium Value,78.5,587.34
cust_1709311609382_pinterest_1,2024-03-01,Pinterest,Brand Awareness,354.27,Medium Value,78.5,505.16
cust_1709398009382_googleads_0,2024-03-02,Google Ads,Search - Generic,104.03,Medium Value,79,202.17
cust_1709398009382_googleads_1,2024-03-02,Google Ads,Search - Generic,167.58,Medium Value,79,249.74
cust_1709398009382_googleads_2,2024-03-02,Google Ads,Search - Generic,152.17,High Value,79,459.43
cust_1709398009382_googleads_0,2024-03-02,Google Ads,Shopping,374.94,High Value,95,726.6
cust_1709398009382_googleads_1,2024-03-02,Google Ads,Shopping,224.84,SMB,95,923.34
cust_1709398009382_googleads_2,2024-03-02,Google Ads,Shopping,351.77,Low Value,95,742.24
cust_1709398009382_googleads_0,2024-03-02,Google Ads,Shopping,191.49,High Value,101,574.85
cust_1709398009382_googleads_1,2024-03-02,Google Ads,Shopping,211.07,Low Value,101,486.53
cust_1709398009382_googleads_2,2024-03-02,Google Ads,Shopping,246.96,Medium Value,101,477.4
cust_1709398009382_googleads_0,2024-03-02,Google Ads,Shopping,128.42,Enterprise,105,436.98
cust_1709398009382_googleads_1,2024-03-02,Google Ads,Shopping,118.95,Medium Value,105,490.64
cust_1709398009382_googleads_2,2024-03-02,Google Ads,Shopping,142.11,Low Value,105,525.25
cust_1709398009382_facebook_0,2024-03-02,Facebook,Lead Generation,317.67,Low Value,101.5,485.79
cust_1709398009382_facebook_1,2024-03-02,Facebook,Lead Generation,251.83,Low Value,101.5,842.45
cust_1709398009382_facebook_0,2024-03-02,Facebook,Video Views,197.59,Low Value,116,596.93
cust_1709398009382_facebook_1,2024-03-02,Facebook,Video Views,230.46,SMB,116,658.47
cust_1709398009382_facebook_0,2024-03-02,Facebook,Video Views,141.2,SMB,132,309.34
cust_1709398009382_facebook_1,2024-03-02,Facebook,Video Views,179.54,High Value,132,343.51
cust_1709398009382_linkedin_0,2024-03-02,LinkedIn,Text Ads,253.51,Medium Value,147,537.42
cust_1709398009382_linkedin_0,2024-03-02,LinkedIn,Text Ads,238.24,Low Value,163,992.44
cust_1709398009382_linkedin_0,2024-03-02,LinkedIn,Text Ads,116.77,Medium Value,113,492.47
cust_1709398009382_linkedin_0,2024-03-02,LinkedIn,Sponsored Content,225.16,Low Value,154,743.01
cust_1709398009382_tiktok_0,2024-03-02,TikTok,Video Views,232.08,Enterprise,70.5,663.66
cust_1709398009382_tiktok_1,2024-03-02,TikTok,Video Views,160.98,Low Value,70.5,432.84
cust_1709398009382_tiktok_0,2024-03-02,TikTok,Reach,152.89,Medium Value,88,386.99
cust_1709398009382_pinterest_0,2024-03-02,Pinterest,Traffic,155.56,Low Value,133,243.48
cust_1709398009382_pinterest_0,2024-03-02,Pinterest,Video Views,166.9,Enterprise,102,415.78
cust_1709484409382_googleads_0,2024-03-03,Google Ads,Video - YouTube,245.92,SMB,93,750.48
cust_1709484409382_googleads_1,2024-03-03,Google Ads,Video - YouTube,162.76,Medium Value,93,454.73
cust_1709484409382_googleads_2,2024-03-03,Google Ads,Video - YouTube,219.24,Medium Value,93,610.39
cust_1709484409382_googleads_0,2024-03-03,Google Ads,Search - Generic,287.77,Medium Value,74.33,811.61
cust_1709484409382_googleads_1,2024-03-03,Google Ads,Search - Generic,254.73,Low Value,74.33,520.78
cust_1709484409382_googleads_2,2024-03-03,Google Ads,Search - Generic,342.98,Medium Value,74.33,943.01
cust_1709484409382_googleads_0,2024-03-03,Google Ads,Shopping,253.81,Low Value,67.75,549.8
cust_1709484409382_googleads_1,2024-03-03,Google Ads,Shopping,250.67,Enterprise,67.75,453.03
cust_1709484409382_googleads_2,2024-03-03,Google Ads,Shopping,281.58,SMB,67.75,769.96
cust_1709484409382_googleads_3,2024-03-03,Google Ads,Shopping,176.52,Low Value,67.75,522.19
