date,channel,spend,campaign
2023-08-09,Facebook,2100,Cold Outreach
2023-08-09,LinkedIn,1500,Content Promotion
2023-08-10,Google Ads,2800,Generic Keywords
2023-08-10,Facebook,2200,Event Promotion
2023-08-10,LinkedIn,1600,Webinar Ads
2023-08-11,Google Ads,2400,Shopping Ads
2023-08-11,Facebook,1700,App Install
2023-08-11,LinkedIn,1100,Lead Gen Forms
2023-08-12,Google Ads,2900,Competitor Keywords
2023-08-12,Facebook,2300,Lookalike Campaign
2023-08-12,LinkedIn,1700,Industry Targeting
2023-08-13,Google Ads,2550,Brand Search
2023-08-13,Facebook,1850,Interest Targeting
2023-08-13,LinkedIn,1250,B2B Targeting
2023-08-14,Google Ads,2650,Generic Keywords
2023-08-14,Facebook,1950,Video Campaign
2023-08-14,LinkedIn,1350,Job Title Targeting
2023-08-15,Google Ads,2750,Shopping Ads
2023-08-15,Facebook,2050,Retargeting
2023-08-15,LinkedIn,1450,Company Targeting
2023-08-16,Google Ads,2450,Competitor Keywords
2023-08-16,Facebook,1750,Cold Outreach
2023-08-16,LinkedIn,1150,Content Promotion
2023-08-17,Google Ads,2850,Brand Search
2023-08-17,Facebook,2250,Event Promotion
2023-08-17,LinkedIn,1650,Webinar Ads
2023-08-18,Google Ads,2500,Generic Keywords
2023-08-18,Facebook,1800,App Install
2023-08-18,LinkedIn,1200,Lead Gen Forms
2023-08-19,Google Ads,2600,Shopping Ads
2023-08-19,Facebook,2000,Lookalike Campaign
2023-08-19,LinkedIn,1400,Industry Targeting
2023-08-20,Google Ads,2700,Competitor Keywords
2023-08-20,Facebook,2100,Interest Targeting
2023-08-20,LinkedIn,1500,B2B Targeting
2023-08-21,Google Ads,2800,Brand Search
2023-08-21,Facebook,2200,Video Campaign
2023-08-21,LinkedIn,1600,Job Title Targeting
2023-08-22,Google Ads,2400,Generic Keywords
2023-08-22,Facebook,1700,Retargeting
2023-08-22,LinkedIn,1100,Company Targeting
2023-08-23,Google Ads,2950,Shopping Ads
2023-08-23,Facebook,2350,Cold Outreach
2023-08-23,LinkedIn,1750,Content Promotion
2023-08-24,Google Ads,2550,Competitor Keywords
2023-08-24,Facebook,1850,Event Promotion
2023-08-24,LinkedIn,1250,Webinar Ads
2023-08-25,Google Ads,2650,Brand Search
2023-08-25,Facebook,1950,App Install
2023-08-25,LinkedIn,1350,Lead Gen Forms
2023-08-26,Google Ads,2750,Generic Keywords
2023-08-26,Facebook,2050,Lookalike Campaign
2023-08-26,LinkedIn,1450,Industry Targeting
2023-08-27,Google Ads,2450,Shopping Ads
2023-08-27,Facebook,1750,Interest Targeting
2023-08-27,LinkedIn,1150,B2B Targeting
2023-08-28,Google Ads,2850,Competitor Keywords
2023-08-28,Facebook,2250,Video Campaign
2023-08-28,LinkedIn,1650,Job Title Targeting
2023-08-29,Google Ads,2500,Brand Search
2023-08-29,Facebook,1800,Retargeting
2023-08-29,LinkedIn,1200,Company Targeting
2023-08-30,Google Ads,2600,Generic Keywords
2023-08-30,Facebook,2000,Cold Outreach
2023-08-30,LinkedIn,1400,Content Promotion
2023-08-31,Google Ads,2700,Shopping Ads
2023-08-31,Facebook,2100,Event Promotion
2023-08-31,LinkedIn,1500,Webinar Ads
2023-09-01,Google Ads,2800,Competitor Keywords
2023-09-01,Facebook,2200,App Install
2023-09-01,LinkedIn,1600,Lead Gen Forms
2023-09-02,Google Ads,2400,Brand Search
2023-09-02,Facebook,1700,Lookalike Campaign
2023-09-02,LinkedIn,1100,Industry Targeting
2023-09-03,Google Ads,2900,Generic Keywords
2023-09-03,Facebook,2300,Interest Targeting
2023-09-03,LinkedIn,1700,B2B Targeting
2023-09-04,Google Ads,2550,Shopping Ads
2023-09-04,Facebook,1850,Video Campaign
2023-09-04,LinkedIn,1250,Job Title Targeting
2023-09-05,Google Ads,2650,Competitor Keywords
2023-09-05,Facebook,1950,Retargeting
2023-09-05,LinkedIn,1350,Company Targeting
2023-09-06,Google Ads,2750,Brand Search
2023-09-06,Facebook,2050,Cold Outreach
2023-09-06,LinkedIn,1450,Content Promotion
2023-09-07,Google Ads,2450,Generic Keywords
2023-09-07,Facebook,1750,Event Promotion
2023-09-07,LinkedIn,1150,Webinar Ads
2023-09-08,Google Ads,2850,Shopping Ads
2023-09-08,Facebook,2250,App Install
2023-09-08,LinkedIn,1650,Lead Gen Forms
2023-09-09,Google Ads,2500,Competitor Keywords
2023-09-09,Facebook,1800,Lookalike Campaign
2023-09-09,LinkedIn,1200,Industry Targeting
2023-09-10,Google Ads,2600,Brand Search
2023-09-10,Facebook,2000,Interest Targeting
2023-09-10,LinkedIn,1400,B2B Targeting
2023-09-11,Google Ads,2700,Generic Keywords
2023-09-11,Facebook,2100,Video Campaign
2023-09-11,LinkedIn,1500,Job Title Targeting
2023-09-12,Google Ads,2800,Shopping Ads
2023-09-12,Facebook,2200,Retargeting
2023-09-12,LinkedIn,1600,Company Targeting
2023-09-13,Google Ads,2400,Competitor Keywords
2023-09-13,Facebook,1700,Cold Outreach
2023-09-13,LinkedIn,1100,Content Promotion
2023-09-14,Google Ads,2950,Brand Search
2023-09-14,Facebook,2350,Event Promotion
2023-09-14,LinkedIn,1750,Webinar Ads
2023-09-15,Google Ads,2550,Generic Keywords
2023-09-15,Facebook,1850,App Install
2023-09-15,LinkedIn,1250,Lead Gen Forms
2023-09-16,Google Ads,2650,Shopping Ads
2023-09-16,Facebook,1950,Lookalike Campaign
2023-09-16,LinkedIn,1350,Industry Targeting
2023-09-17,Google Ads,2750,Competitor Keywords
2023-09-17,Facebook,2050,Interest Targeting
2023-09-17,LinkedIn,1450,B2B Targeting
2023-09-18,Google Ads,2450,Brand Search
2023-09-18,Facebook,1750,Video Campaign
2023-09-18,LinkedIn,1150,Job Title Targeting
2023-09-19,Google Ads,2850,Generic Keywords
2023-09-19,Facebook,2250,Retargeting
2023-09-19,LinkedIn,1650,Company Targeting
2023-09-20,Google Ads,2500,Shopping Ads
2023-09-20,Facebook,1800,Cold Outreach
2023-09-20,LinkedIn,1200,Content Promotion
2023-09-21,Google Ads,2600,Competitor Keywords
2023-09-21,Facebook,2000,Event Promotion
2023-09-21,LinkedIn,1400,Webinar Ads
2023-09-22,Google Ads,2700,Brand Search
2023-09-22,Facebook,2100,App Install
2023-09-22,LinkedIn,1500,Lead Gen Forms
2023-09-23,Google Ads,2800,Generic Keywords
2023-09-23,Facebook,2200,Lookalike Campaign
2023-09-23,LinkedIn,1600,Industry Targeting
2023-09-24,Google Ads,2400,Shopping Ads
2023-09-24,Facebook,1700,Interest Targeting
2023-09-24,LinkedIn,1100,B2B Targeting
2023-09-25,Google Ads,2900,Competitor Keywords
2023-09-25,Facebook,2300,Video Campaign
2023-09-25,LinkedIn,1700,Job Title Targeting
2023-09-26,Google Ads,2550,Brand Search
2023-09-26,Facebook,1850,Retargeting
2023-09-26,LinkedIn,1250,Company Targeting
2023-09-27,Google Ads,2650,Generic Keywords
2023-09-27,Facebook,1950,Cold Outreach
2023-09-27,LinkedIn,1350,Content Promotion
2023-09-28,Google Ads,2750,Shopping Ads
2023-09-28,Facebook,2050,Event Promotion
2023-09-28,LinkedIn,1450,Webinar Ads
2023-09-29,Google Ads,2450,Competitor Keywords
2023-09-29,Facebook,1750,App Install
2023-09-29,LinkedIn,1150,Lead Gen Forms
2023-09-30,Google Ads,2850,Brand Search
2023-09-30,Facebook,2250,Lookalike Campaign
2023-09-30,LinkedIn,1650,Industry Targeting
2023-10-01,Google Ads,2600,Generic Keywords
2023-10-01,Facebook,2000,Interest Targeting
2023-10-01,LinkedIn,1400,B2B Targeting
2023-10-02,Google Ads,2700,Shopping Ads
2023-10-02,Facebook,2100,Video Campaign
2023-10-02,LinkedIn,1500,Job Title Targeting
2023-10-03,Google Ads,2800,Competitor Keywords
2023-10-03,Facebook,2200,Retargeting
2023-10-03,LinkedIn,1600,Company Targeting
2023-10-04,Google Ads,2400,Brand Search
2023-10-04,Facebook,1700,Cold Outreach
2023-10-04,LinkedIn,1100,Content Promotion
2023-10-05,Google Ads,2950,Generic Keywords
2023-10-05,Facebook,2350,Event Promotion
2023-10-05,LinkedIn,1750,Webinar Ads
2023-10-06,Google Ads,2550,Shopping Ads
2023-10-06,Facebook,1850,App Install
2023-10-06,LinkedIn,1250,Lead Gen Forms
2023-10-07,Google Ads,2650,Competitor Keywords
2023-10-07,Facebook,1950,Lookalike Campaign
2023-10-07,LinkedIn,1350,Industry Targeting
2023-10-08,Google Ads,2750,Brand Search
2023-10-08,Facebook,2050,Interest Targeting
2023-10-08,LinkedIn,1450,B2B Targeting
2023-10-09,Google Ads,2450,Generic Keywords
2023-10-09,Facebook,1750,Video Campaign
2023-10-09,LinkedIn,1150,Job Title Targeting
2023-10-10,Google Ads,2850,Shopping Ads
2023-10-10,Facebook,2250,Retargeting
2023-10-10,LinkedIn,1650,Company Targeting
2023-10-11,Google Ads,2500,Competitor Keywords
2023-10-11,Facebook,1800,Cold Outreach
2023-10-11,LinkedIn,1200,Content Promotion
2023-10-12,Google Ads,2600,Brand Search
2023-10-12,Facebook,2000,Event Promotion
2023-10-12,LinkedIn,1400,Webinar Ads
2023-10-13,Google Ads,2700,Generic Keywords
2023-10-13,Facebook,2100,App Install
2023-10-13,LinkedIn,1500,Lead Gen Forms
2023-10-14,Google Ads,2800,Shopping Ads
2023-10-14,Facebook,2200,Lookalike Campaign
2023-10-14,LinkedIn,1600,Industry Targeting
2023-10-15,Google Ads,2400,Competitor Keywords
2023-10-15,Facebook,1700,Interest Targeting
2023-10-15,LinkedIn,1100,B2B Targeting
2023-10-16,Google Ads,2900,Brand Search
2023-10-16,Facebook,2300,Video Campaign
2023-10-16,LinkedIn,1700,Job Title Targeting
2023-10-17,Google Ads,2550,Generic Keywords
2023-10-17,Facebook,1850,Retargeting
2023-10-17,LinkedIn,1250,Company Targeting
2023-10-18,Google Ads,2650,Shopping Ads
2023-10-18,Facebook,1950,Cold Outreach
2023-10-18,LinkedIn,1350,Content Promotion
2023-10-19,Google Ads,2750,Competitor Keywords
2023-10-19,Facebook,2050,Event Promotion
2023-10-19,LinkedIn,1450,Webinar Ads
2023-10-20,Google Ads,2450,Brand Search
2023-10-20,Facebook,1750,App Install
2023-10-20,LinkedIn,1150,Lead Gen Forms
2023-10-21,Google Ads,2850,Generic Keywords
2023-10-21,Facebook,2250,Lookalike Campaign
2023-10-21,LinkedIn,1650,Industry Targeting
2023-10-22,Google Ads,2500,Shopping Ads
2023-10-22,Facebook,1800,Interest Targeting
2023-10-22,LinkedIn,1200,B2B Targeting
2023-10-23,Google Ads,2600,Competitor Keywords
2023-10-23,Facebook,2000,Video Campaign
2023-10-23,LinkedIn,1400,Job Title Targeting
2023-10-24,Google Ads,2700,Brand Search
2023-10-24,Facebook,2100,Retargeting
2023-10-24,LinkedIn,1500,Company Targeting
2023-10-25,Google Ads,2800,Generic Keywords
2023-10-25,Facebook,2200,Cold Outreach
2023-10-25,LinkedIn,1600,Content Promotion
2023-10-26,Google Ads,2400,Shopping Ads
2023-10-26,Facebook,1700,Event Promotion
2023-10-26,LinkedIn,1100,Webinar Ads
2023-10-27,Google Ads,2950,Competitor Keywords
2023-10-27,Facebook,2350,App Install
2023-10-27,LinkedIn,1750,Lead Gen Forms
2023-10-28,Google Ads,2550,Brand Search
2023-10-28,Facebook,1850,Lookalike Campaign
2023-10-28,LinkedIn,1250,Industry Targeting
2023-10-29,Google Ads,2650,Generic Keywords
2023-10-29,Facebook,1950,Interest Targeting
2023-10-29,LinkedIn,1350,B2B Targeting
2023-10-30,Google Ads,2750,Shopping Ads
2023-10-30,Facebook,2050,Video Campaign
2023-10-30,LinkedIn,1450,Job Title Targeting
2023-10-31,Google Ads,2450,Competitor Keywords
2023-10-31,Facebook,1750,Retargeting
2023-10-31,LinkedIn,1150,Company Targeting
2023-11-01,Google Ads,2850,Brand Search
2023-11-01,Facebook,2250,Cold Outreach
2023-11-01,LinkedIn,1650,Content Promotion
2023-11-02,Google Ads,2500,Generic Keywords
2023-11-02,Facebook,1800,Event Promotion
2023-11-02,LinkedIn,1200,Webinar Ads
2023-11-03,Google Ads,2600,Shopping Ads
2023-11-03,Facebook,2000,App Install
2023-11-03,LinkedIn,1400,Lead Gen Forms
2023-11-04,Google Ads,2700,Competitor Keywords
2023-11-04,Facebook,2100,Lookalike Campaign
2023-11-04,LinkedIn,1500,Industry Targeting
2023-11-05,Google Ads,2800,Brand Search
2023-11-05,Facebook,2200,Interest Targeting
2023-11-05,LinkedIn,1600,B2B Targeting
2023-11-06,Google Ads,2400,Generic Keywords
2023-11-06,Facebook,1700,Video Campaign
2023-11-06,LinkedIn,1100,Job Title Targeting
2023-11-07,Google Ads,2900,Shopping Ads
2023-11-07,Facebook,2300,Retargeting
2023-11-07,LinkedIn,1700,Company Targeting
2023-11-08,Google Ads,2550,Competitor Keywords
2023-11-08,Facebook,1850,Cold Outreach
2023-11-08,LinkedIn,1250,Content Promotion
2023-11-09,Google Ads,2650,Brand Search
2023-11-09,Facebook,1950,Event Promotion
2023-11-09,LinkedIn,1350,Webinar Ads
2023-11-10,Google Ads,2750,Generic Keywords
2023-11-10,Facebook,2050,App Install
2023-11-10,LinkedIn,1450,Lead Gen Forms
2023-11-11,Google Ads,2450,Shopping Ads
2023-11-11,Facebook,1750,Lookalike Campaign
2023-11-11,LinkedIn,1150,Industry Targeting
2023-11-12,Google Ads,2850,Competitor Keywords
2023-11-12,Facebook,2250,Interest Targeting
2023-11-12,LinkedIn,1650,B2B Targeting
2023-11-13,Google Ads,2500,Brand Search
2023-11-13,Facebook,1800,Video Campaign
2023-11-13,LinkedIn,1200,Job Title Targeting
2023-11-14,Google Ads,2600,Generic Keywords
2023-11-14,Facebook,2000,Retargeting
2023-11-14,LinkedIn,1400,Company Targeting
2023-11-15,Google Ads,2700,Shopping Ads
2023-11-15,Facebook,2100,Cold Outreach
2023-11-15,LinkedIn,1500,Content Promotion
2023-11-16,Google Ads,2800,Competitor Keywords
2023-11-16,Facebook,2200,Event Promotion
2023-11-16,LinkedIn,1600,Webinar Ads
2023-11-17,Google Ads,2400,Brand Search
2023-11-17,Facebook,1700,App Install
2023-11-17,LinkedIn,1100,Lead Gen Forms
2023-11-18,Google Ads,2950,Generic Keywords
2023-11-18,Facebook,2350,Lookalike Campaign
2023-11-18,LinkedIn,1750,Industry Targeting
2023-11-19,Google Ads,2550,Shopping Ads
2023-11-19,Facebook,1850,Interest Targeting
2023-11-19,LinkedIn,1250,B2B Targeting
2023-11-20,Google Ads,2650,Competitor Keywords
2023-11-20,Facebook,1950,Video Campaign
2023-11-20,LinkedIn,1350,Job Title Targeting
2023-11-21,Google Ads,2750,Brand Search
2023-11-21,Facebook,2050,Retargeting
2023-11-21,LinkedIn,1450,Company Targeting
2023-11-22,Google Ads,2450,Generic Keywords
2023-11-22,Facebook,1750,Cold Outreach
2023-11-22,LinkedIn,1150,Content Promotion
2023-11-23,Google Ads,2850,Shopping Ads
2023-11-23,Facebook,2250,Event Promotion
2023-11-23,LinkedIn,1650,Webinar Ads
2023-11-24,Google Ads,3200,Black Friday
2023-11-24,Facebook,2800,Black Friday
2023-11-24,LinkedIn,2000,Black Friday
2023-11-25,Google Ads,3400,Black Friday
2023-11-25,Facebook,3000,Black Friday
2023-11-25,LinkedIn,2200,Black Friday
2023-11-26,Google Ads,3100,Cyber Monday
2023-11-26,Facebook,2700,Cyber Monday
2023-11-26,LinkedIn,1900,Cyber Monday
2023-11-27,Google Ads,2600,Generic Keywords
2023-11-27,Facebook,2000,Lookalike Campaign
2023-11-27,LinkedIn,1400,Industry Targeting
2023-11-28,Google Ads,2700,Brand Search
2023-11-28,Facebook,2100,Interest Targeting
2023-11-28,LinkedIn,1500,B2B Targeting
2023-11-29,Google Ads,2800,Shopping Ads
2023-11-29,Facebook,2200,Video Campaign
2023-11-29,LinkedIn,1600,Job Title Targeting
2023-11-30,Google Ads,2400,Competitor Keywords
2023-11-30,Facebook,1700,Retargeting
2023-11-30,LinkedIn,1100,Company Targeting
2023-12-01,Google Ads,2900,Holiday Campaign
2023-12-01,Facebook,2300,Holiday Campaign
2023-12-01,LinkedIn,1700,Holiday Campaign
2023-12-02,Google Ads,2550,Brand Search
2023-12-02,Facebook,1850,Cold Outreach
2023-12-02,LinkedIn,1250,Content Promotion
2023-12-03,Google Ads,2650,Generic Keywords
2023-12-03,Facebook,1950,Event Promotion
2023-12-03,LinkedIn,1350,Webinar Ads
2023-12-04,Google Ads,2750,Shopping Ads
2023-12-04,Facebook,2050,App Install
2023-12-04,LinkedIn,1450,Lead Gen Forms
2023-12-05,Google Ads,2450,Competitor Keywords
2023-12-05,Facebook,1750,Lookalike Campaign
2023-12-05,LinkedIn,1150,Industry Targeting
2023-12-06,Google Ads,2850,Holiday Campaign
2023-12-06,Facebook,2250,Interest Targeting
2023-12-06,LinkedIn,1650,B2B Targeting
2023-12-07,Google Ads,2500,Brand Search
2023-12-07,Facebook,1800,Video Campaign
2023-12-07,LinkedIn,1200,Job Title Targeting
2023-12-08,Google Ads,2600,Generic Keywords
2023-12-08,Facebook,2000,Retargeting
2023-12-08,LinkedIn,1400,Company Targeting
2023-12-09,Google Ads,2700,Shopping Ads
2023-12-09,Facebook,2100,Cold Outreach
2023-12-09,LinkedIn,1500,Content Promotion
2023-12-10,Google Ads,2800,Holiday Campaign
2023-12-10,Facebook,2200,Event Promotion
2023-12-10,LinkedIn,1600,Webinar Ads
2023-12-11,Google Ads,2400,Competitor Keywords
2023-12-11,Facebook,1700,App Install
2023-12-11,LinkedIn,1100,Lead Gen Forms
2023-12-12,Google Ads,2950,Brand Search
2023-12-12,Facebook,2350,Lookalike Campaign
2023-12-12,LinkedIn,1750,Industry Targeting
2023-12-13,Google Ads,2550,Generic Keywords
2023-12-13,Facebook,1850,Interest Targeting
2023-12-13,LinkedIn,1250,B2B Targeting
2023-12-14,Google Ads,2650,Shopping Ads
2023-12-14,Facebook,1950,Video Campaign
2023-12-14,LinkedIn,1350,Job Title Targeting
2023-12-15,Google Ads,2750,Holiday Campaign
2023-12-15,Facebook,2050,Retargeting
2023-12-15,LinkedIn,1450,Company Targeting
2023-12-16,Google Ads,2450,Competitor Keywords
2023-12-16,Facebook,1750,Cold Outreach
2023-12-16,LinkedIn,1150,Content Promotion
2023-12-17,Google Ads,2850,Brand Search
2023-12-17,Facebook,2250,Event Promotion
2023-12-17,LinkedIn,1650,Webinar Ads
2023-12-18,Google Ads,2500,Generic Keywords
2023-12-18,Facebook,1800,App Install
2023-12-18,LinkedIn,1200,Lead Gen Forms
2023-12-19,Google Ads,2600,Shopping Ads
2023-12-19,Facebook,2000,Lookalike Campaign
2023-12-19,LinkedIn,1400,Industry Targeting
2023-12-20,Google Ads,2700,Holiday Campaign
2023-12-20,Facebook,2100,Interest Targeting
2023-12-20,LinkedIn,1500,B2B Targeting
2023-12-21,Google Ads,2800,Brand Search
2023-12-21,Facebook,2200,Video Campaign
2023-12-21,LinkedIn,1600,Job Title Targeting
2023-12-22,Google Ads,3100,Holiday Rush
2023-12-22,Facebook,2700,Holiday Rush
2023-12-22,LinkedIn,1900,Holiday Rush
2023-12-23,Google Ads,3300,Holiday Rush
2023-12-23,Facebook,2900,Holiday Rush
2023-12-23,LinkedIn,2100,Holiday Rush
2023-12-24,Google Ads,1500,Reduced Holiday
2023-12-24,Facebook,1000,Reduced Holiday
2023-12-24,LinkedIn,700,Reduced Holiday
2023-12-25,Google Ads,800,Christmas Day
2023-12-25,Facebook,500,Christmas Day
2023-12-25,LinkedIn,300,Christmas Day
2023-12-26,Google Ads,2400,Post Holiday
2023-12-26,Facebook,1700,Post Holiday
2023-12-26,LinkedIn,1100,Post Holiday
2023-12-27,Google Ads,2600,Year End
2023-12-27,Facebook,2000,Year End
2023-12-27,LinkedIn,1400,Year End
2023-12-28,Google Ads,2700,Year End
2023-12-28,Facebook,2100,Year End
2023-12-28,LinkedIn,1500,Year End
2023-12-29,Google Ads,2800,Year End
2023-12-29,Facebook,2200,Year End
2023-12-29,LinkedIn,1600,Year End
2023-12-30,Google Ads,2400,New Year Prep
2023-12-30,Facebook,1700,New Year Prep
2023-12-30,LinkedIn,1100,New Year Prep
2023-12-31,Google Ads,1800,New Year Eve
2023-12-31,Facebook,1200,New Year Eve
2023-12-31,LinkedIn,800,New Year Eve
2024-01-01,Google Ads,1000,New Year Day
2024-01-01,Facebook,600,New Year Day
2024-01-01,LinkedIn,400,New Year Day
2024-01-02,Google Ads,2500,Q1 Launch
2024-01-02,Facebook,1800,Q1 Launch
2024-01-02,LinkedIn,1200,Q1 Launch
2024-01-03,Google Ads,2600,Brand Search
2024-01-03,Facebook,1900,Interest Targeting
2024-01-03,LinkedIn,1300,Industry Targeting
2024-01-04,Google Ads,2700,Generic Keywords
2024-01-04,Facebook,2000,Video Campaign
2024-01-04,LinkedIn,1400,Job Title Targeting
2024-01-05,Google Ads,2800,Shopping Ads
2024-01-05,Facebook,2100,Retargeting
2024-01-05,LinkedIn,1500,Company Targeting
2024-01-06,Google Ads,2400,Competitor Keywords
2024-01-06,Facebook,1700,Cold Outreach
2024-01-06,LinkedIn,1100,Content Promotion
2024-01-07,Google Ads,2900,Q1 Launch
2024-01-07,Facebook,2300,Event Promotion
2024-01-07,LinkedIn,1700,Webinar Ads
2024-01-08,Google Ads,2550,Brand Search
2024-01-08,Facebook,1850,App Install
2024-01-08,LinkedIn,1250,Lead Gen Forms
2024-01-09,Google Ads,2650,Generic Keywords
2024-01-09,Facebook,1950,Lookalike Campaign
2024-01-09,LinkedIn,1350,Industry Targeting
2024-01-10,Google Ads,2750,Shopping Ads
2024-01-10,Facebook,2050,Interest Targeting
2024-01-10,LinkedIn,1450,B2B Targeting
2024-01-11,Google Ads,2450,Competitor Keywords
2024-01-11,Facebook,1750,Video Campaign
2024-01-11,LinkedIn,1150,Job Title Targeting
2024-01-12,Google Ads,2850,Q1 Launch
2024-01-12,Facebook,2250,Retargeting
2024-01-12,LinkedIn,1650,Company Targeting
2024-01-13,Google Ads,2500,Brand Search
2024-01-13,Facebook,1800,Cold Outreach
2024-01-13,LinkedIn,1200,Content Promotion
2024-01-14,Google Ads,2600,Generic Keywords
