date,revenue,customers,new_customers,channel,customer_id,ltv,cohort,attribution_source
2024-01-13,15400,46,33,Facebook,cust_0062,760,2024-01-W3,Lookalike Campaign
2024-01-13,9600,28,21,LinkedIn,cust_0063,1200,2024-01-W3,Industry Targeting
2024-01-13,4700,17,13,Google Ads,cust_0064,990,2024-01-W3,Competitor Keywords
2024-01-13,4100,14,11,Facebook,cust_0065,830,2024-01-W3,Interest Targeting
2024-01-14,16500,49,36,Google Ads,cust_0066,920,2024-01-W3,Brand Search
2024-01-14,13800,41,30,Facebook,cust_0067,730,2024-01-W3,Interest Targeting
2024-01-14,9400,28,21,LinkedIn,cust_0068,1210,2024-01-W3,B2B Targeting
2024-01-14,4300,16,12,Google Ads,cust_0069,940,2024-01-W3,Generic Keywords
2024-01-14,3700,13,10,Facebook,cust_0070,780,2024-01-W3,Video Campaign
2024-01-15,22000,65,48,Google Ads,cust_0071,1100,2024-01-W3,Black Friday Sale
2024-01-15,19600,58,42,Facebook,cust_0072,900,2024-01-W3,Black Friday Video
2024-01-15,13200,38,28,LinkedIn,cust_0073,1400,2024-01-W3,Holiday Promotion
2024-01-15,5200,19,15,Google Ads,cust_0074,1050,2024-01-W3,Brand Search
2024-01-15,4500,16,13,Facebook,cust_0075,950,2024-01-W3,Lookalike Campaign
2024-01-16,15800,47,34,Google Ads,cust_0076,890,2024-01-W3,Brand Search
2024-01-16,12200,37,27,Facebook,cust_0077,710,2024-01-W3,Lookalike Campaign
2024-01-16,7900,24,17,LinkedIn,cust_0078,1150,2024-01-W3,Industry Targeting
2024-01-16,4200,15,12,Google Ads,cust_0079,920,2024-01-W3,Generic Keywords
2024-01-16,3600,13,10,Facebook,cust_0080,760,2024-01-W3,Interest Targeting
2024-01-17,18200,54,39,Google Ads,cust_0081,950,2024-01-W3,Competitor Keywords
2024-01-17,15800,47,34,Facebook,cust_0082,780,2024-01-W3,Video Campaign
2024-01-17,10800,32,24,LinkedIn,cust_0083,1230,2024-01-W3,Job Title Targeting
2024-01-17,4900,18,14,Google Ads,cust_0084,980,2024-01-W3,Shopping Ads
2024-01-17,4300,15,12,Facebook,cust_0085,850,2024-01-W3,Retargeting
2024-01-18,16200,48,35,Google Ads,cust_0086,910,2024-01-W3,Brand Search
2024-01-18,13400,40,29,Facebook,cust_0087,740,2024-01-W3,Retargeting
2024-01-18,8800,26,19,LinkedIn,cust_0088,1170,2024-01-W3,Company Targeting
2024-01-18,4400,16,12,Google Ads,cust_0089,940,2024-01-W3,Generic Keywords
2024-01-18,3800,14,11,Facebook,cust_0090,790,2024-01-W3,Cold Outreach
2024-01-19,17600,52,38,Google Ads,cust_0091,960,2024-01-W3,Generic Keywords
2024-01-19,15200,45,33,Facebook,cust_0092,800,2024-01-W3,Cold Outreach
2024-01-19,10600,31,23,LinkedIn,cust_0093,1260,2024-01-W3,Content Promotion
2024-01-19,4700,17,13,Google Ads,cust_0094,980,2024-01-W3,Brand Search
2024-01-19,4100,14,11,Facebook,cust_0095,860,2024-01-W3,Event Promotion
2024-01-20,15600,46,33,Google Ads,cust_0096,900,2024-01-W4,Brand Search
2024-01-20,12800,38,28,Facebook,cust_0097,750,2024-01-W4,Event Promotion
2024-01-20,8200,24,18,LinkedIn,cust_0098,1190,2024-01-W4,Webinar Ads
2024-01-20,4300,16,12,Google Ads,cust_0099,960,2024-01-W4,Shopping Ads
2024-01-20,3700,13,10,Facebook,cust_0100,810,2024-01-W4,Lookalike Campaign
2024-01-21,16800,50,36,Google Ads,cust_0101,920,2024-01-W4,Shopping Ads
2024-01-21,14200,42,31,Facebook,cust_0102,770,2024-01-W4,Lookalike Campaign
2024-01-21,8600,26,19,LinkedIn,cust_0103,1160,2024-01-W4,Industry Targeting
2024-01-21,4500,17,13,Google Ads,cust_0104,970,2024-01-W4,Competitor Keywords
2024-01-21,3900,14,11,Facebook,cust_0105,830,2024-01-W4,Interest Targeting
2024-01-22,17200,51,37,Google Ads,cust_0106,940,2024-01-W4,Brand Search
2024-01-22,14800,44,32,Facebook,cust_0107,780,2024-01-W4,Interest Targeting
2024-01-22,9800,29,22,LinkedIn,cust_0108,1210,2024-01-W4,B2B Targeting
